ticker,name,percent_gain
ORCL,Oracle Corp,+$23.41
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,+$6.23
TAC,TransAlta Corp,+$0.85
AAPG,Ascentage Pharma Group International American Depository Shares,+$2.38
GENI,Genius Sports Ltd,+$0.73
SEZL,Sezzle Inc,+$9.42
APLD,Applied Digital Corp,+$0.80
AU,Anglogold Ashanti PLC,+$3.00
ATAT,Atour Lifestyle Holdings Ltd - ADR,+$1.88
ONC,Beigene Ltd,+$15.52
VEON,VEON Ltd,+$2.48
FN,Fabrinet,+$13.30
RARE,Ultragenyx Pharmaceutical Inc,+$1.90
SMMT,Summit Therapeutics Inc,+$0.99
CRK,Comstock Resources Inc,+$1.20
ZLAB,Zai Lab Ltd - ADR,+$2.07
NAMS,NewAmsterdam Pharma Company NV,+$0.99
LEGN,Legend Biotech Corp,+$1.71
KC,Kingsoft Cloud Holdings Ltd,+$0.59
CAH,Cardinal Health Inc,+$6.93
