ticker,name,percent_gain
ORCL,Oracle Corp,+$24.07
TAC,TransAlta Corp,+$0.87
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,+$6.23
AAPG,Ascentage Pharma Group International American Depository Shares,+$2.38
SEZL,Sezzle Inc,+$9.80
APLD,Applied Digital Corp,+$0.87
GENI,Genius Sports Ltd,+$0.69
AU,Anglogold Ashanti PLC,+$2.94
ATAT,Atour Lifestyle Holdings Ltd - ADR,+$1.84
ONC,Beigene Ltd,+$15.36
RARE,Ultragenyx Pharmaceutical Inc,+$2.17
VEON,VEON Ltd,+$2.48
FN,Fabrinet,+$13.30
ZLAB,Zai Lab Ltd - ADR,+$2.09
SMMT,Summit Therapeutics Inc,+$0.97
PCT,Purecycle Technologies Inc,+$0.55
LEGN,Legend Biotech Corp,+$1.78
NAMS,NewAmsterdam Pharma Company NV,+$0.99
CRK,Comstock Resources Inc,+$1.11
MTSR,Metsera Inc,+$1.53
