ticker,name,percent_gain
ORCL,Oracle Corp,13.28%
TAC,TransAlta Corp,8.21%
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,7.81%
GENI,Genius Sports Ltd,6.78%
AAPG,Ascentage Pharma Group International American Depository Shares,6.50%
AU,Anglogold Ashanti PLC,6.43%
SEZL,Sezzle Inc,6.38%
ATAT,Atour Lifestyle Holdings Ltd - ADR,6.10%
ONC,Beigene Ltd,5.85%
FN,Fabrinet,5.75%
VEON,VEON Ltd,5.53%
SMMT,Summit Therapeutics Inc,5.23%
RARE,Ultragenyx Pharmaceutical Inc,5.08%
ZLAB,Zai Lab Ltd - ADR,5.02%
NVCR,Novocure Ltd,4.95%
CRK,Comstock Resources Inc,4.78%
LEGN,Legend Biotech Corp,4.74%
MTSR,Metsera Inc,4.67%
NAMS,NewAmsterdam Pharma Company NV,4.66%
CAH,Cardinal Health Inc,4.59%
